Title,Status,Phase,Prio,Marker,Owner,Exit Gate,Notes
"A1 Vercel/Supabase Secrets final setzen",Todo,A,P0,"SEC,OPS",Michael,false,"Placeholder-Werte durch echte Werte ersetzen"
"A2 RLS Audit komplett",Todo,A,P0,"SEC,DSGVO",Michael,false,"club_id Vollständigkeit + negative Zugriffstests"
"A3 SECURITY DEFINER Review",Todo,A,P0,"SEC",Michael,false,"auth.uid + club_id + search_path prüfen"
"A4 Idempotenz für kritische Writes testen",Todo,A,P0,"SEC,OPS",Michael,false,"client_request_id / duplicate submit"
"A5 Staging Smoke-Test protokollieren",Todo,A,P0,"OPS",Michael,false,"Login Feed Upload Push Einstellungen"
"A6 Phase A Exit Gate",Todo,A,P0,"SEC,OPS",Michael,true,"alle P0 checks grün"
"B1 Login/Session/Rollenwechsel E2E testen",Todo,B,P1,"SEC,OPS",Michael,false,"mind. 3 reale User-Szenarien"
"B2 Upload/Push Fehlerfälle testen",Todo,B,P1,"OPS,PERF",Michael,false,"Retry/Timeout/Forbidden testen"
"B3 Offline Retry Konflikte testen",Todo,B,P1,"OPS,DSGVO",Michael,false,"Konfliktstrategie dokumentieren"
"B4 Logs und Fehlerbilder dokumentieren",Todo,B,P1,"OPS",Michael,false,"Incident-fähige Nachweise"
"B5 Phase B Exit Gate",Todo,B,P1,"OPS",Michael,true,"stabile Reproduzierbarkeit erreicht"
"C1 Cutover-Checkliste finalisieren",Todo,C,P1,"OPS",Michael,false,"Go-Live Reihenfolge final"
"C2 Rollback-Test real durchführen",Todo,C,P0,"SEC,OPS",Michael,false,"Rückfallzeit messen"
"C3 Freeze-Fenster und Go/No-Go Termin setzen",Todo,C,P1,"OPS",Michael,false,"Board-Freigabe vorbereiten"
"C4 Kommunikationsplan final",Todo,C,P1,"OPS",Michael,false,"Board VDAN Stakeholder"
"C5 Phase C Exit Gate",Todo,C,P0,"OPS",Michael,true,"Merge prep->main freigegeben"
"D1 Multi-tenant club_id Audit",Todo,D,P0,"SEC,DSGVO",Michael,false,"keine Domaintabelle ohne club_id"
"D2 RLS Performance und Korrektheit",Todo,D,P0,"SEC,PERF",Michael,false,"EXPLAIN + policy cleanup"
"D3 Definer Funktionen härten",Todo,D,P0,"SEC",Michael,false,"minimal privilege pattern"
"D4 Storage Tenant-Schutz prüfen",Todo,D,P0,"SEC,DSGVO",Michael,false,"private buckets + policy tests"
"D5 Push Payload Club-Awareness",Todo,D,P1,"SEC,OPS",Michael,false,"club_id club_name target_url"
"D6 Phase D Exit Gate",Todo,D,P0,"SEC",Michael,true,"Cross-tenant test fehlgeschlagen wie gewünscht"
"E1 Single-DB Übergang kontrolliert dokumentieren",Todo,E,P1,"OPS",Michael,false,"Free-Plan Übergangsmodus"
"E2 Upgrade-Pfad zu getrennten DBs vorbereiten",Todo,E,P1,"OPS,SEC",Michael,false,"staging beta prod split plan"
"E3 Release-Gates vor Promotion erzwingen",Todo,E,P0,"SEC,OPS",Michael,false,"Smoke + Security checklist"
"E4 Restore-Drill planen",Todo,E,P1,"OPS,DSGVO",Michael,false,"quartalsweise Pflicht"
"E5 Phase E Exit Gate",Todo,E,P1,"OPS",Michael,true,"betrieb reproduzierbar"
"F1 prep -> main Mergefenster vorbereiten",Todo,F,P0,"OPS",Michael,false,"nur nach Gate-Freigabe"
"F2 Production Promote kontrolliert",Todo,F,P0,"OPS",Michael,false,"verifizierte Deployment-ID"
"F3 VDAN Redirect final Schritt",Todo,F,P1,"OPS",Michael,false,"erst nach fachlicher Freigabe"
"F4 Post-cutover Monitoring 14 Tage",Todo,F,P1,"OPS,PERF",Michael,false,"daily check routine"
"F5 Phase F Exit Gate",Todo,F,P0,"SEC,OPS",Michael,true,"neues main stabil live"
"G1 Dead-Code Audit",Todo,G,P1,"PERF,OPS",Michael,false,"legacy bereinigen in 2 Wellen"
"G2 Legal Final Review extern",Todo,G,P1,"DSGVO",Michael,false,"Datenschutz/Nutzung/Impressum final"
"G3 Billing Readiness vorbereiten",Todo,G,P2,"BILLING,SEC",Michael,false,"erst nach erstem Zahlkunden"
"G4 Store Readiness Entscheidung",Todo,G,P2,"STORE,OPS",Michael,false,"PWA vs Wrapper"
"G5 Phase G Exit Gate",Todo,G,P1,"OPS",Michael,true,"Regelbetrieb erreicht"
